0	1	2	3	4	5	6	7	8
91.72	54.0	173.0	1023.0	1023.0	0.0	349.0	0.0	349.0
91.74	50.0	156.0	1023.0	1023.0	0.0	399.0	0.0	399.0
91.76	50.0	162.0	1023.0	1023.0	0.0	362.0	0.0	362.0
91.78	54.0	171.0	1023.0	1023.0	0.0	358.0	0.0	358.0
91.8	49.0	158.0	1023.0	1023.0	0.0	395.0	0.0	395.0
91.82	54.0	173.0	1023.0	1023.0	0.0	359.0	0.0	359.0
91.84	50.0	161.0	1023.0	1023.0	0.0	391.0	0.0	391.0
91.86	53.0	168.0	1023.0	1023.0	0.0	370.0	0.0	370.0
91.88	53.0	170.0	1023.0	1023.0	0.0	378.0	0.0	378.0
91.9	52.0	162.0	1023.0	1023.0	0.0	423.0	0.0	423.0
91.92	56.0	174.0	1023.0	1023.0	0.0	380.0	0.0	380.0
91.94	55.0	167.0	1023.0	1023.0	0.0	434.0	0.0	434.0
91.96	56.0	168.0	1023.0	1023.0	0.0	398.0	0.0	398.0
91.98	59.0	172.0	1023.0	1023.0	0.0	386.0	0.0	386.0
92.0	57.0	162.0	1023.0	1023.0	0.0	378.0	0.0	378.0
92.02	63.0	179.0	1023.0	1023.0	0.0	335.0	0.0	335.0
92.04	56.0	157.0	1023.0	1023.0	0.0	371.0	0.0	371.0
92.06	59.0	163.0	1023.0	1023.0	0.0	351.0	0.0	351.0
92.08	61.0	168.0	1023.0	1023.0	0.0	317.0	0.0	317.0
92.1	58.0	160.0	1023.0	1023.0	0.0	352.0	0.0	352.0
92.12	62.0	173.0	1023.0	1023.0	0.0	302.0	0.0	302.0
92.14	59.0	161.0	1023.0	1023.0	0.0	340.0	0.0	340.0
92.16	60.0	166.0	1023.0	1023.0	0.0	329.0	0.0	329.0
92.18	61.0	168.0	1023.0	1023.0	0.0	332.0	0.0	332.0
92.2	60.0	168.0	1023.0	1023.0	0.0	335.0	0.0	335.0
92.22	64.0	175.0	1023.0	1023.0	0.0	303.0	0.0	303.0
92.24	58.0	162.0	1023.0	1023.0	0.0	338.0	0.0	338.0
