0	1	2	3	4	5	6	7	8
---------------------------------------------------------------------
91.7	163.0	52.0	1023.0	1023.0	0.0	388.0	0.0	388.0
91.7	163.0	52.0	1023.0	1023.0	0.0	388.0	0.0	388.0
91.72	173.0	54.0	1023.0	1023.0	0.0	349.0	0.0	349.0
91.72	173.0	54.0	1023.0	1023.0	0.0	349.0	0.0	349.0
91.74	156.0	50.0	1023.0	1023.0	0.0	399.0	0.0	399.0
91.74	156.0	50.0	1023.0	1023.0	0.0	399.0	0.0	399.0
91.76	162.0	50.0	1023.0	1023.0	0.0	362.0	0.0	362.0
91.76	162.0	50.0	1023.0	1023.0	0.0	362.0	0.0	362.0
91.78	171.0	54.0	1023.0	1023.0	0.0	358.0	0.0	358.0
91.78	171.0	54.0	1023.0	1023.0	0.0	358.0	0.0	358.0
91.8	158.0	49.0	1023.0	1023.0	0.0	395.0	0.0	395.0
91.8	158.0	49.0	1023.0	1023.0	0.0	395.0	0.0	395.0
91.82	173.0	54.0	1023.0	1023.0	0.0	359.0	0.0	359.0
91.82	173.0	54.0	1023.0	1023.0	0.0	359.0	0.0	359.0
91.84	161.0	50.0	1023.0	1023.0	0.0	391.0	0.0	391.0
91.84	161.0	50.0	1023.0	1023.0	0.0	391.0	0.0	391.0
91.86	168.0	53.0	1023.0	1023.0	0.0	370.0	0.0	370.0
91.86	168.0	53.0	1023.0	1023.0	0.0	370.0	0.0	370.0
91.88	170.0	53.0	1023.0	1023.0	0.0	378.0	0.0	378.0
91.88	170.0	53.0	1023.0	1023.0	0.0	378.0	0.0	378.0
91.9	162.0	52.0	1023.0	1023.0	0.0	423.0	0.0	423.0
91.9	162.0	52.0	1023.0	1023.0	0.0	423.0	0.0	423.0
91.92	174.0	56.0	1023.0	1023.0	0.0	380.0	0.0	380.0
91.92	174.0	56.0	1023.0	1023.0	0.0	380.0	0.0	380.0
91.94	167.0	55.0	1023.0	1023.0	0.0	434.0	0.0	434.0
91.94	167.0	55.0	1023.0	1023.0	0.0	434.0	0.0	434.0
91.96	168.0	56.0	1023.0	1023.0	0.0	398.0	0.0	398.0
91.96	168.0	56.0	1023.0	1023.0	0.0	398.0	0.0	398.0
91.98	172.0	59.0	1023.0	1023.0	0.0	386.0	0.0	386.0
91.98	172.0	59.0	1023.0	1023.0	0.0	386.0	0.0	386.0
92.0	162.0	57.0	1023.0	1023.0	0.0	378.0	0.0	378.0
92.0	162.0	57.0	1023.0	1023.0	0.0	378.0	0.0	378.0
92.02	179.0	63.0	1023.0	1023.0	0.0	335.0	0.0	335.0
92.02	179.0	63.0	1023.0	1023.0	0.0	335.0	0.0	335.0
92.04	157.0	56.0	1023.0	1023.0	0.0	371.0	0.0	371.0
92.04	157.0	56.0	1023.0	1023.0	0.0	371.0	0.0	371.0
92.06	163.0	59.0	1023.0	1023.0	0.0	351.0	0.0	351.0
92.06	163.0	59.0	1023.0	1023.0	0.0	351.0	0.0	351.0
92.08	168.0	61.0	1023.0	1023.0	0.0	317.0	0.0	317.0
92.08	168.0	61.0	1023.0	1023.0	0.0	317.0	0.0	317.0
92.1	160.0	58.0	1023.0	1023.0	0.0	352.0	0.0	352.0
92.1	160.0	58.0	1023.0	1023.0	0.0	352.0	0.0	352.0
92.12	173.0	62.0	1023.0	1023.0	0.0	302.0	0.0	302.0
92.12	173.0	62.0	1023.0	1023.0	0.0	302.0	0.0	302.0
92.14	161.0	59.0	1023.0	1023.0	0.0	340.0	0.0	340.0
92.14	161.0	59.0	1023.0	1023.0	0.0	340.0	0.0	340.0
92.16	166.0	60.0	1023.0	1023.0	0.0	329.0	0.0	329.0
92.16	166.0	60.0	1023.0	1023.0	0.0	329.0	0.0	329.0
92.18	168.0	61.0	1023.0	1023.0	0.0	332.0	0.0	332.0
92.18	168.0	61.0	1023.0	1023.0	0.0	332.0	0.0	332.0
92.2	168.0	60.0	1023.0	1023.0	0.0	335.0	0.0	335.0
